#link,child_link,link_rpy,link_xyz,frag_length,frag_radius,link_color,link_mass,link_ixx,link_ixy,link_ixz,link_iyy,link_iyz,link_izz,joint_type1,joint_rpy1,joint_xyz1,joint_axis1,joint_effort1,joint_lower1,joint_upper1,joint_velocity1,joint_type2,joint_rpy2,joint_xyz2,joint_axis2,joint_effort2,joint_lower2,joint_upper2,joint_velocity2,joint_type3,joint_rpy3,joint_xyz4,joint_axis4,joint_effort4,joint_lower4,joint_upper4,joint_velocity4
tether_start,tether_fragment,0 0 0,0 0 0,0.05,0.01,blue,0,0,0,0,0,0,0,fixed,0 0 0,0 0 0,0 0 0,,,,,,,,,,,,,,,,,,,,
tether_fragment,tether_end,0 0 0,0 0 0.05,0.05,0.01,red,1,1,0,0,1,0,1,revolute,0 0 0,0 0 0.1,0 0 1,30,-2.616,2.617,1.571,,,,,,,,,,,,,,,,
